week,owner,kicker,team,score
1,austin,Matt Prater,DET,7.0
1,thomas,Sebastian Janikowski,OAK,8.0
2,austin,Jason Myers,JAC,1.0
2,thomas,Josh Lambo,SD,8.0
3,austin,Wil Lutz,NO,8.0
3,thomas,Matt Bryant,ATL,8.0
4,austin,Dustin Hopkins,WAS,8.0
4,thomas,Josh Lambo,SD,11.0
5,austin,Brandon McManus,DEN,12.0
5,thomas,Josh Lambo,SD,7.0
6,austin,Dan Carpenter,BUF,10.0
6,thomas,Nick Novak,HOU,7.0
7,austin,Brandon McManus,DEN,9.0
7,thomas,Jason Myers,JAC,11.0
8,austin,Mike Nugent,CIN,1.0
8,thomas,Nick Novak,HOU,8.0
9,austin,Sebastian Janikowski,OAK,11.0
9,thomas,Brandon McManus,DEN,11.0
10,austin,Chandler Catanzaro,ARI,11.0
10,thomas,Brandon McManus,DEN,12.0
11,austin,Dustin Hopkins,WAS,5.0
11,thomas,Connor Barth,CHI,3.0
12,austin,Dan Carpenter,BUF,1.0
12,thomas,Brandon McManus,DEN,9.0
13,austin,Matt Prater,DET,18.0
13,thomas,Brandon McManus,DEN,8.0
14,austin,Roberto Aguayo,TB,11.0
14,thomas,Robbie Gould,NYG,4.0
15,austin,Sebastian Janikowski,OAK,15.0
15,thomas,Kai Forbath,MIN,8.0
16,austin,Wil Lutz,NO,12.0
16,thomas,Josh Lambo,SD,4.0
17,austin,Brandon McManus,DEN,5.0
17,thomas,Sebastian Janikowski,OAK,0.0
